"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","RefundCost","Value of returned items","ProductCost Unsellable Refunds","AmazonFees","EstimatedPayout","Cost of Goods","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI","Fulfillment Channel","Expenses"
"06/03/2026","Amazon.com","B09WQSBZY7","DH-0K32-KCGU","CRAFTILOO Fairy Sewing Kit for Kids Ages 5-12 – Beginner Sewing Kit with 5 Pre-Cut Felt Projects – Make Your Own Stuffed Animal Plush Dolls – Fun Girls Craft Kit, Learn to Sew Gift for Kids","413.54","269.70","269.70","0.00","23","15","15","0","1","0.00","-132.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-19.34","0.00","0.00","-303.36","227.77","-114.00","0.00","113.77","113.77","16.65","19.43","540","7.41","-132.77","0.00","99.80","FBA","0.00"
"06/03/2026","Amazon.com","B08DDJCQKF","FH-FMO5-Y9LJ","CRAFTILOO Cross Stitch Kit for Kids - 5 Easy Stamped Cross Stitch Kits for Beginners | Embroidery Kit for Girls Ages 7-13 | Needlepoint Craft Set, Backpack Charms & Keychains","279.72","279.72","279.72","0.00","14","14","14","0","3","0.00","-94.58","-0.50","0.00","-1.97","0.00","0.00","0.00","0.00","-52.74","0.00","0.00","-263.59","146.06","-112.00","0.00","34.06","34.06","6.09","17.35","196","14.29","-97.05","0.00","30.41","FBA","0.00"
"06/03/2026","Amazon.com","B09THLVFZK","RV-FA22-4WFQ","24,000 Mini Fuse Beads Kit for Adults - Tiny 2.6mm Beads (NOT Standard 5mm) - 48 Colors, 5 Pegboards, 2 Tweezers - Compatible with Hama, Melty, Iron Beads - Bulk Pixel Art Craft","599.74","290.22","290.22","0.00","18","9","9","0","1","0.00","-141.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-20.72","8.30","0.00","-355.57","363.63","-224.10","0.00","147.83","147.83","16.61","15.93","258","10.47","-141.74","100.00","65.97","FBA","0.00"
"06/03/2026","Amazon.com","B09X55KL2C","8P-17QD-1L6J","10 Pre-Stamped Embroidery Patterns for Beginners Embroidery Kit for Kids Girls Needlepoint Kits for Beginners Cross Stitch Craft Sewing Perfect for Ages 7-13","335.72","47.96","47.96","0.00","14","2","2","0","0","0.00","-33.49","0.00","0.00","-8.46","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-274.37","67.36","-100.80","0.00","-33.44","-33.44","-8.72","10.93","102","15.69","-41.95","0.00","-33.17","FBA","0.00"
"06/03/2026","Amazon.com","B0BNDVTTSH","4V-ROEZ-AH0J","CRAFTILOO Ballerina Dancers Sewing Kit for Kids, Fun and Educational Craft Set for Boys and Girls Age 5-12, Sew Your Own Felt Ballerina Craft Kit for Beginners","125.86","0.00","0.00","0.00","7","0","0","0","0","0.00","-9.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-98.20","18.10","-22.40","0.00","-4.30","-4.30","-3.42","7.60","102","6.86","-9.56","0.00","-19.20","FBA","0.00"
"06/03/2026","Amazon.com","B0F8R652FX","QU-SQUC-HFLJ","CRAFTILOO Latch Hook Kit for Kids Rug DIY Pillow Craft with Hook, Precut Yarn, Easy to Follow Pattern Cute Designs with Rainbow Heart Ages 6+","74.94","99.92","99.92","0.00","3","4","4","0","0","0.00","-46.06","0.00","0.00","-6.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-114.07","8.17","-39.83","0.00","-31.66","-31.66","-18.11","30.09","93","7.53","-52.62","0.00","-79.49","FBA","0.00"
"06/03/2026","Amazon.com","B08FYH13CL","M8-07DZ-ZEYX","CRAFTILOO Latch Hook Kit for Kids - DIY 2 Pencil Cases Craft Kit for Girls Ages 8-12, Beginner Rug Hooking Set with Yarn, Hook & Easy Instructions - Fun Back to School Arts and Crafts Project","119.88","19.98","19.98","0.00","6","1","1","0","0","0.00","-15.92","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-86.40","37.54","-31.50","0.00","6.04","6.04","4.32","11.38","34","20.59","-15.92","0.00","19.17","FBA","0.00"
"06/03/2026","Amazon.com","B0FQC7YFX6","6P-KW6N-9F9J","CRAFTILOO Lacing Cards for Kids Ages 3-5 - 8 Princess Sewing Cards with Gem Stickers, Toddler Lacing Toy, Fine Motor Preschool Threading Activity for Ages 4-8","139.86","0.00","0.00","0.00","7","0","0","0","1","0.00","-33.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-17.58","0.00","0.00","-71.17","17.12","-14.70","0.00","2.42","2.42","1.73","24.30","34","20.59","-33.99","0.00","16.46","FBA","0.00"
"06/03/2026","Amazon.com","B07D6D95NG","O9-70DP-C5J6","shinshin creation Fuse Beads Kit for Kids - 1500 Large 10mm Melty Iron Beads with Pegboards, 48 Patterns - Arts and Crafts for Boys and Girls Ages 4-7","74.94","74.94","74.94","0.00","3","3","3","0","0","0.00","-29.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-80.03","40.51","-48.00","0.00","-7.49","-7.49","-5.00","19.58","47","12.77","-29.34","0.00","-15.60","FBA","0.00"
"06/03/2026","Amazon.com","B0F8DG32H5","7P-PGQW-ADJU","CRAFTILOO Knitting Kit for Kids – Beginner Knitting Kit to Make a Hat & Cat – Quick Knit Loom Kit with Yarn, Tools & Instructions","161.88","0.00","0.00","0.00","6","0","0","0","1","0.00","-16.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-23.74","0.00","0.00","-172.96","-51.00","-31.80","0.00","-82.80","-82.80","-51.15","10.00","45","13.33","-16.18","0.00","-260.38","FBA","0.00"
