"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","Refund Commission","Refund Principal","Refund Promotion","Refund RefundCommission","Refund RestockingDeductionPrincipal","Value of returned items","ProductCost Unsellable Refunds","Commission","COMPENSATED_CLAWBACK","FBADisposalFee","FBAInboundConvenienceFee","FBALongTermStorageFee","FBAPerUnitFulfillmentFee","(MCF)","FBAStorageFee","FREE_REPLACEMENT_REFUND_ITEMS","GlobalInboundTransportationFreight","MISSING_FROM_INBOUND","MISSING_FROM_INBOUND_CLAWBACK","REVERSAL_REIMBURSEMENT","STARStorageFee","WAREHOUSE_DAMAGE","WAREHOUSE_LOST","EstimatedPayout","ProductCost Sales","ProductCost Non-Amazon","ProductCost MultichannelCosts","ProductCost MissingFromInbound","ProductCost CostOfMissingReturns","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI","Fulfillment Channel","Expenses"
"11/02/2026","Amazon.com","B09THLVFZK","RV-FA22-4WFQ","shinshin creation 24,000 Mini Fuse Beads Kit for Adults - Tiny 2.6mm Beads (NOT Standard 5mm) - 48 Colors, 5 Pegboards, 2 Tweezers - Compatible with Hama, Melty, Iron Beads - Bulk Pixel Art Craft","494.70","98.94","98.94","0.00","15","3","3","0","2","0.00","-96.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.90","-65.96","0.00","-1.98","0.00","8.30","0.00","-89.10","0.00","0.00","0.00","0.00","-106.56","0.00","0.00","0.00","0.00","0.00","0.00","18.71","0.00","0.00","0.00","262.57","-149.40","0.00","0.00","0.00","0.00","0.00","121.47","121.47","20.46","16.18","234","7.26","-96.08","100.00","81.31","FBA","0.00"
"11/02/2026","Amazon.com","B09WQSBZY7","DH-0K32-KCGU","CRAFTILOO Fairy Sewing Kit for Kids Ages 5-12 – Beginner Sewing Kit with 5 Pre-Cut Felt Projects – Make Your Own Stuffed Animal Plush Dolls – Fun Girls Craft Kit, Learn to Sew Gift for Kids","175.84","175.84","175.84","0.00","8","8","8","0","1","0.00","-107.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.30","-21.98","0.00","-0.66","0.00","0.00","0.00","-52.80","0.00","0.00","0.00","0.00","-67.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","104.45","-48.00","0.00","0.00","0.00","0.00","0.00","56.45","56.45","16.05","30.68","249","6.83","-107.89","0.00","117.60","FBA","0.00"
"11/02/2026","Amazon.com","B08DDJCQKF","FH-FMO5-Y9LJ","CRAFTILOO Cross Stitch Kit for Kids - 5 Easy Stamped Cross Stitch Kits for Beginners | Embroidery Kit for Girls Ages 7-13 | Needlepoint Craft Set, Backpack Charms & Keychains","199.80","119.88","119.88","0.00","10","6","6","0","2","0.00","-95.13","-0.22","0.00","-2.10","0.00","0.00","0.00","0.00","6.00","-39.96","0.00","-1.20","0.00","0.00","0.00","-48.00","0.00","0.00","0.00","0.00","-67.20","0.00","0.00","0.00","0.00","0.00","-67.04","14.48","0.00","0.00","0.00","19.31","-64.00","0.00","0.00","48.00","0.00","0.00","3.31","3.31","1.04","30.48","232","6.90","-97.45","0.00","20.69","FBA","0.00"
"11/02/2026","Amazon.com","B0FQC7YFX6","6P-KW6N-9F9J","CRAFTILOO Lacing Cards for Kids Ages 3-5 - 8 Princess Sewing Cards with Gem Stickers, Toddler Lacing Toy, Fine Motor Preschool Threading Activity for Ages 4-8","99.90","139.86","139.86","0.00","5","7","7","0","0","0.00","-76.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-36.00","0.00","0.00","0.00","0.00","-55.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","72.40","-25.20","0.00","0.00","0.00","0.00","0.00","47.20","47.20","19.69","31.77","71","16.90","-76.16","0.00","187.30","FBA","0.00"
"11/02/2026","Amazon.com","B0F8R652FX","QU-SQUC-HFLJ","CRAFTILOO Latch Hook Kit for Kids Rug DIY Pillow Craft with Hook, Precut Yarn, Easy to Follow Pattern Cute Designs with Rainbow Heart Ages 6+","124.90","124.90","124.90","0.00","5","5","5","0","0","0.00","-45.84","0.00","0.00","-4.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-37.50","0.00","0.00","0.00","0.00","-55.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.35","0.00","110.85","-56.90","0.00","0.00","-5.69","0.00","0.00","48.26","48.26","19.32","20.06","93","10.75","-50.10","0.00","77.10","FBA","0.00"
"11/02/2026","Amazon.com","B0FHMRQWRX","MW-AU5S-KO94","CRAFTILOO Latch Hook Kit for Kids Rug DIY Pillow Craft with Hook, Precut Yarn, Easy to Follow Pattern Cute Designs with Wise Owl Ages 6+","149.88","24.98","24.98","0.00","6","1","1","0","0","0.00","-2.21","0.00","0.00","-2.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-26.25","0.00","0.00","0.00","0.00","-38.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.35","108.78","-37.10","0.00","0.00","-5.30","0.00","0.00","66.38","66.38","37.96","2.97","39","17.95","-5.19","0.00","156.56","FBA","0.00"
"11/02/2026","Amazon.com","B09HVDNFMR","N7-TUSA-2329","CRAFTILOO Needlepoint Kit for Kids — Beginner Cross Stitch Sewing Kit with Pre Printed Canvas, Easy Embroidery Arts and Crafts Starter Set for Girls and Boys Ages 6-12 (Cat)","71.92","53.94","53.94","0.00","4","3","3","0","0","0.00","-17.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-18.90","0.00","0.00","0.00","0.00","-26.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","63.29","-21.00","0.00","0.00","0.00","0.00","0.00","42.29","42.29","33.60","13.95","80","8.75","-17.56","0.00","201.38","FBA","0.00"
"11/02/2026","Amazon.com","B09X55KL2C","8P-17QD-1L6J","10 Pre-Stamped Embroidery Patterns for Beginners Embroidery Kit for Kids Girls Needlepoint Kits for Beginners Cross Stitch Craft Sewing Perfect for Ages 7-13","53.96","107.92","107.92","0.00","2","4","4","0","0","0.00","-41.21","0.00","0.00","-9.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-24.30","0.00","0.00","0.00","0.00","-30.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","57.04","-37.80","0.00","0.00","0.00","0.00","0.00","19.24","19.24","11.89","31.07","97","6.19","-50.30","0.00","50.90","FBA","0.00"
"11/02/2026","Amazon.com","B0F8DG32H5","7P-PGQW-ADJU","CRAFTILOO Knitting Kit for Kids – Beginner Knitting Kit to Make a Hat & Cat – Quick Knit Loom Kit with Yarn, Tools & Instructions","107.92","53.96","53.96","0.00","4","2","2","0","0","0.00","-42.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-24.30","0.00","0.00","0.00","0.00","-42.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","52.74","-31.80","0.00","0.00","0.00","0.00","0.00","20.94","20.94","12.94","26.28","75","8.00","-42.54","0.00","65.85","FBA","0.00"
"11/02/2026","Amazon.com","B08FYH13CL","M8-07DZ-ZEYX","CRAFTILOO Latch Hook Kit for Kids - DIY 2 Pencil Cases Craft Kit for Girls Ages 8-12, Beginner Rug Hooking Set with Yarn, Hook & Easy Instructions - Fun Back to School Arts and Crafts Project","59.94","39.96","39.96","0.00","3","2","2","0","0","0.00","-18.42","0.00","0.00","-3.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-15.00","0.00","0.00","0.00","0.00","-21.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","41.78","-22.50","0.00","0.00","0.00","0.00","0.00","19.28","19.28","19.30","22.14","43","11.63","-22.12","0.00","85.69","FBA","0.00"
