"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","RefundCost","Value of returned items","ProductCost Unsellable Refunds","AmazonFees","EstimatedPayout","Cost of Goods","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI","Fulfillment Channel","Expenses"
"07/03/2026","Amazon.com","B09WQSBZY7","DH-0K32-KCGU","CRAFTILOO Fairy Sewing Kit for Kids Ages 5-12 – Beginner Sewing Kit with 5 Pre-Cut Felt Projects – Make Your Own Stuffed Animal Plush Dolls – Fun Girls Craft Kit, Learn to Sew Gift for Kids","485.46","179.80","179.80","0.00","27","10","10","0","0","0.00","-145.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-257.59","261.71","-111.00","0.00","150.71","150.71","22.65","21.94","533","6.94","-145.96","0.00","135.77","FBA","0.00"
"07/03/2026","Amazon.com","B08DDJCQKF","FH-FMO5-Y9LJ","CRAFTILOO Cross Stitch Kit for Kids - 5 Easy Stamped Cross Stitch Kits for Beginners | Embroidery Kit for Girls Ages 7-13 | Needlepoint Craft Set, Backpack Charms & Keychains","219.78","179.82","179.82","0.00","11","9","9","0","1","0.00","-114.14","-1.31","0.00","-4.60","0.00","0.00","0.00","0.00","-17.58","0.00","0.00","-144.00","117.97","-80.00","0.00","37.97","37.97","9.50","30.04","259","8.11","-120.05","0.00","47.46","FBA","0.00"
"07/03/2026","Amazon.com","B08FYH13CL","M8-07DZ-ZEYX","CRAFTILOO Latch Hook Kit for Kids - DIY 2 Pencil Cases Craft Kit for Girls Ages 8-12, Beginner Rug Hooking Set with Yarn, Hook & Easy Instructions - Fun Back to School Arts and Crafts Project","319.68","19.98","19.98","0.00","16","1","1","0","0","0.00","-16.86","0.00","0.00","-6.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-145.83","170.61","-76.50","0.00","94.11","94.11","27.71","6.84","49","34.69","-23.22","0.00","123.02","FBA","0.00"
"07/03/2026","Amazon.com","B09X55KL2C","8P-17QD-1L6J","10 Pre-Stamped Embroidery Patterns for Beginners Embroidery Kit for Kids Girls Needlepoint Kits for Beginners Cross Stitch Craft Sewing Perfect for Ages 7-13","263.78","119.90","119.90","0.00","11","5","5","0","0","0.00","-41.74","0.00","0.00","-11.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-222.71","107.82","-100.80","0.00","7.02","7.02","1.83","13.85","122","12.30","-53.15","0.00","6.96","FBA","0.00"
"07/03/2026","Amazon.com","B09THLVFZK","RV-FA22-4WFQ","24,000 Mini Fuse Beads Kit for Adults - Tiny 2.6mm Beads (NOT Standard 5mm) - 48 Colors, 5 Pegboards, 2 Tweezers - Compatible with Hama, Melty, Iron Beads - Bulk Pixel Art Craft","395.76","131.92","131.92","0.00","12","4","4","0","2","0.00","-150.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-49.66","8.30","0.00","-340.32","-21.17","-132.80","0.00","-145.67","-145.67","-27.61","28.53","291","5.50","-150.57","100.00","-109.69","FBA","0.00"
"07/03/2026","Amazon.com","B0F8R652FX","QU-SQUC-HFLJ","CRAFTILOO Latch Hook Kit for Kids Rug DIY Pillow Craft with Hook, Precut Yarn, Easy to Follow Pattern Cute Designs with Rainbow Heart Ages 6+","224.82","99.92","99.92","0.00","9","4","4","0","0","0.00","-58.27","0.00","0.00","-4.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-176.49","85.26","-73.97","0.00","11.29","11.29","3.48","19.40","115","11.30","-62.99","0.00","15.26","FBA","0.00"
"07/03/2026","Amazon.com","B07D6D95NG","O9-70DP-C5J6","shinshin creation Fuse Beads Kit for Kids - 1500 Large 10mm Melty Iron Beads with Pegboards, 48 Patterns - Arts and Crafts for Boys and Girls Ages 4-7","124.90","124.90","124.90","0.00","5","5","5","0","3","0.00","-29.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-41.94","24.00","0.00","-119.97","34.75","-80.00","0.00","-21.25","-21.25","-8.51","11.67","39","25.64","-29.14","100.00","-26.56","FBA","0.00"
"07/03/2026","Amazon.com","B0BNDVTTSH","4V-ROEZ-AH0J","CRAFTILOO Ballerina Dancers Sewing Kit for Kids, Fun and Educational Craft Set for Boys and Girls Age 5-12, Sew Your Own Felt Ballerina Craft Kit for Beginners","143.84","17.98","17.98","0.00","8","1","1","0","0","0.00","-20.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-68.79","73.01","-28.80","0.00","44.21","44.21","27.32","12.37","129","6.98","-20.02","0.00","153.51","FBA","0.00"
"07/03/2026","Amazon.com","B0FQC7YFX6","6P-KW6N-9F9J","CRAFTILOO Lacing Cards for Kids Ages 3-5 - 8 Princess Sewing Cards with Gem Stickers, Toddler Lacing Toy, Fine Motor Preschool Threading Activity for Ages 4-8","59.94","99.90","99.90","0.00","3","5","5","0","0","0.00","-28.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-71.88","59.25","-16.80","0.00","42.45","42.45","26.56","17.96","45","17.78","-28.71","0.00","252.68","FBA","0.00"
"07/03/2026","Amazon.com","B0CRZ8M2G1","GP-OSR2-H0XR","shinshin creation 24,000 Mini 2.6mm Fuse Beads Kit for Adults - 48 Vivid Pastel Colors, 5 Pegboards, 2 Tweezers - Compatible with Hama, Melty Beads, Iron Beads Craft - Bulk Storage","244.86","0.00","0.00","0.00","7","0","0","0","0","0.00","-0.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-81.48","163.04","-63.00","0.00","100.04","100.04","40.86","0.14","62","11.29","-0.34","0.00","158.79","FBA","0.00"
"07/03/2026","Amazon.com","B0BP8GCK1G","KS-48AQ-488J","Fairy Elves Sewing Kit for Kids, Fun and Educational Fairytale Craft Set for Boys and Girls Age 7-12, Sew Your Own Felt Fairy Craft Kit for Beginners (Garden Rainbow Fairies Kit)","124.08","0.00","0.00","0.00","6","0","0","0","0","0.00","-12.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-46.20","64.93","-19.20","0.00","45.73","45.73","36.86","10.44","131","4.58","-12.95","0.00","238.18","FBA","0.00"
"07/03/2026","Amazon.com","B0FHMRQWRX","MW-AU5S-KO94","CRAFTILOO Latch Hook Kit for Kids Rug DIY Pillow Craft with Hook, Precut Yarn, Easy to Follow Pattern Cute Designs with Wise Owl Ages 6+","124.90","0.00","0.00","0.00","5","0","0","0","0","0.00","-2.48","0.00","0.00","-1.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-97.90","22.71","-26.50","0.00","-3.79","-3.79","-3.03","3.43","44","11.36","-4.29","0.00","-14.30","FBA","0.00"
"07/03/2026","Amazon.com","B09HVCCNM2","KL-L7KN-R85L","CRAFTILOO Needlepoint Kit for Kids — Beginner Cross Stitch Sewing Kit with Pre Printed Canvas, Easy Embroidery Arts and Crafts Starter Set for Girls and Boys Ages 6-12 (Unicorn)","35.96","35.96","35.96","0.00","2","2","2","0","2","0.00","-4.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-31.64","0.00","0.00","-26.13","9.47","-12.00","0.00","-2.53","-2.53","-3.52","6.51","23","17.39","-4.68","0.00","-21.08","FBA","0.00"
"07/03/2026","Amazon.com","B09HVDNFMR","N7-TUSA-2329","CRAFTILOO Needlepoint Kit for Kids — Beginner Cross Stitch Sewing Kit with Pre Printed Canvas, Easy Embroidery Arts and Crafts Starter Set for Girls and Boys Ages 6-12 (Cat)","35.96","17.98","17.98","0.00","2","1","1","0","0","0.00","-17.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-19.64","17.06","-9.00","0.00","8.06","8.06","14.94","31.96","71","4.23","-17.24","0.00","89.56","FBA","0.00"
"07/03/2026","Amazon.com","B0F6YTG1CH","75-24RO-YAXR","CRAFTILOO Cross Stitch Kit for Kids Ages 6-12 – Easy Beginner Embroidery Needlepoint Set for Girls & Boys – Pre-Cut Felt Unicorn Designs with Thread, Needles & Keyrings – 4 Fun Projects","50.94","0.00","0.00","0.00","3","0","0","0","0","0.00","-42.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-31.12","-22.38","-6.00","0.00","-28.38","-28.38","-55.71","82.84","88","3.41","-42.20","0.00","-473.00","FBA","0.00"
"07/03/2026","Amazon.com","B0DC69M3YD","7B-EONH-U3A3","CRAFTILOO Embroidery Kit for Beginners Adults — 4 Floral Stamped Patterns, Learn 17 Stitches | Complete Needlepoint Kit with Hoop, Needles, Thread & Video Tutorial | Embroidery Kits for Adults Women","0.00","74.94","74.94","0.00","0","3","3","0","1","0.00","-38.61","0.00","0.00","-6.47","0.00","0.00","0.00","0.00","-21.98","0.00","0.00","-48.25","-40.37","-18.90","0.00","-59.27","-59.27","-79.09","60.15","81","3.70","-45.08","0.00","-313.60","FBA","0.00"
"07/03/2026","Amazon.com","B09HVSLBS6","KM-QL7C-QZMZ","CRAFTILOO Needlepoint Kit for Kids — Beginner Cross Stitch Sewing Kit with Pre Printed Canvas, Easy Embroidery Arts and Crafts Starter Set for Girls and Boys Ages 6-12 (Cat & Dog)","0.00","35.96","35.96","0.00","0","2","2","0","0","0.00","-11.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-13.31","11.56","-6.00","0.00","5.56","5.56","15.46","30.84","56","3.57","-11.09","0.00","92.67","FBA","0.00"
