"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","RefundCost","Value of returned items","ProductCost Unsellable Refunds","AmazonFees","EstimatedPayout","Cost of Goods","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI","Fulfillment Channel","Expenses"
"03/03/2026","Amazon.com","B09WQSBZY7","DH-0K32-KCGU","CRAFTILOO Fairy Sewing Kit for Kids Ages 5-12 – Beginner Sewing Kit with 5 Pre-Cut Felt Projects – Make Your Own Stuffed Animal Plush Dolls – Fun Girls Craft Kit, Learn to Sew Gift for Kids","683.24","341.62","341.62","0.00","38","19","19","0","1","0.00","-131.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-19.34","0.00","0.00","-393.30","480.50","-171.00","0.00","309.50","309.50","30.20","12.85","546","10.62","-131.72","0.00","180.99","FBA","0.00"
"03/03/2026","Amazon.com","B09THLVFZK","RV-FA22-4WFQ","shinshin creation 24,000 Mini Fuse Beads Kit for Adults - Tiny 2.6mm Beads (NOT Standard 5mm) - 48 Colors, 5 Pegboards, 2 Tweezers - Compatible with Hama, Melty, Iron Beads - Bulk Pixel Art Craft","666.10","323.20","323.20","0.00","20","10","10","0","0","0.00","-135.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-326.08","527.69","-249.00","0.00","278.69","278.69","28.17","13.70","281","10.68","-135.53","0.00","111.92","FBA","0.00"
"03/03/2026","Amazon.com","B08DDJCQKF","FH-FMO5-Y9LJ","CRAFTILOO Cross Stitch Kit for Kids - 5 Easy Stamped Cross Stitch Kits for Beginners | Embroidery Kit for Girls Ages 7-13 | Needlepoint Craft Set, Backpack Charms & Keychains","299.70","179.82","179.82","0.00","15","9","9","0","2","0.00","-101.75","0.00","0.00","-4.47","0.00","0.00","0.00","0.00","-35.16","0.00","0.00","-172.80","165.34","-96.00","0.00","69.34","69.34","14.46","22.15","222","11.26","-106.22","0.00","72.23","FBA","0.00"
"03/03/2026","Amazon.com","B0BNDVTTSH","4V-ROEZ-AH0J","CRAFTILOO Ballerina Dancers Sewing Kit for Kids, Fun and Educational Craft Set for Boys and Girls Age 5-12, Sew Your Own Felt Ballerina Craft Kit for Beginners","287.68","17.98","17.98","0.00","16","1","1","0","1","0.00","-9.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-19.34","0.00","0.00","-124.10","152.59","-54.40","0.00","98.19","98.19","32.12","3.15","141","12.06","-9.63","0.00","180.50","FBA","0.00"
"03/03/2026","Amazon.com","B09X55KL2C","8P-17QD-1L6J","10 Pre-Stamped Embroidery Patterns for Beginners Embroidery Kit for Kids Girls Needlepoint Kits for Beginners Cross Stitch Craft Sewing Perfect for Ages 7-13","239.80","95.92","95.92","0.00","10","4","4","0","0","0.00","-36.21","0.00","0.00","-10.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-120.96","167.77","-88.20","0.00","79.57","79.57","23.70","14.00","121","11.57","-46.99","0.00","90.22","FBA","0.00"
"03/03/2026","Amazon.com","B07D6D95NG","O9-70DP-C5J6","shinshin creation Fuse Beads Kit for Kids - 1500 Large 10mm Melty Iron Beads with Pegboards, 48 Patterns - Arts and Crafts for Boys and Girls Ages 4-7","224.82","49.96","49.96","0.00","9","2","2","0","0","0.00","-23.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-102.52","149.22","-88.00","0.00","61.22","61.22","22.28","8.38","40","27.50","-23.04","0.00","69.57","FBA","0.00"
"03/03/2026","Amazon.com","B0BP8GCK1G","KS-48AQ-488J","Fairy Elves Sewing Kit for Kids, Fun and Educational Fairytale Craft Set for Boys and Girls Age 7-12, Sew Your Own Felt Fairy Craft Kit for Beginners (Garden Rainbow Fairies Kit)","186.12","0.00","0.00","0.00","9","0","0","0","1","0.00","-6.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-18.20","0.00","0.00","-69.30","92.21","-28.80","0.00","63.41","63.41","34.07","3.44","151","5.96","-6.41","0.00","220.17","FBA","0.00"
"03/03/2026","Amazon.com","B0F8DG32H5","7P-PGQW-ADJU","CRAFTILOO Knitting Kit for Kids – Beginner Knitting Kit to Make a Hat & Cat – Quick Knit Loom Kit with Yarn, Tools & Instructions","80.94","134.90","134.90","0.00","3","5","5","0","0","0.00","-36.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-88.80","91.03","-42.40","0.00","48.63","48.63","22.53","16.68","59","13.56","-36.01","0.00","114.69","FBA","0.00"
"03/03/2026","Amazon.com","B0F8R652FX","QU-SQUC-HFLJ","CRAFTILOO Latch Hook Kit for Kids Rug DIY Pillow Craft with Hook, Precut Yarn, Easy to Follow Pattern Cute Designs with Rainbow Heart Ages 6+","124.90","74.94","74.94","0.00","5","3","3","0","0","0.00","-52.72","0.00","0.00","-4.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-74.56","68.27","-45.52","0.00","22.75","22.75","11.38","28.53","92","8.70","-57.01","0.00","49.98","FBA","0.00"
"03/03/2026","Amazon.com","B07PXN4K8N","6C-ADBV-Q090","XXL Fuse Beads kit, Melty Melting Beads for Kids Crafts | Iron for Kids kit - Fuse pegboards. Compatible Bulk beados Storage - 22000pcs 5mm","244.72","0.00","0.00","0.00","7","0","0","0","0","0.00","-0.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-90.51","153.26","-87.50","0.00","65.76","65.76","26.87","0.39","97","7.22","-0.95","0.00","75.15","FBA","0.00"
