"﻿""Date""",Marketplace,ASIN,SKU,Name,SalesOrganic,SalesPPC,SalesSponsoredProducts,SalesSponsoredDisplay,UnitsOrganic,UnitsPPC,UnitsSponsoredProducts,UnitsSponsoredDisplay,Refunds,PromoValue,SponsoredProducts,SponsoredDisplay,SponsoredВrands,SponsoredBrandsVideo,Google ads,Facebook ads,GiftWrap,Shipping,Refund Commission,Refund Principal,Refund Promotion,Refund RefundCommission,Refund RestockingDeductionPrincipal,Value of returned items,ProductCost Unsellable Refunds,Commission,COMPENSATED_CLAWBACK,FBADisposalFee,FBAInboundConvenienceFee,FBALongTermStorageFee,FBAPerUnitFulfillmentFee,(MCF),FBAStorageFee,FREE_REPLACEMENT_REFUND_ITEMS,GlobalInboundTransportationFreight,MISSING_FROM_INBOUND,MISSING_FROM_INBOUND_CLAWBACK,REVERSAL_REIMBURSEMENT,STARStorageFee,WAREHOUSE_DAMAGE,WAREHOUSE_LOST,EstimatedPayout,ProductCost Sales,ProductCost Non-Amazon,ProductCost MultichannelCosts,ProductCost MissingFromInbound,ProductCost CostOfMissingReturns,VAT,GrossProfit,NetProfit,Margin,Real ACOS,Sessions,Unit Session Percentage,Ads spend,Sellable Returns %,ROI,Fulfillment Channel,Expenses
05/02/2026,Amazon.com,B09WQSBZY7,DH-0K32-KCGU,Fairy Sewing Kits for Little Girls 5 Easy Projects for Childrens Kid Crafts Make Your Own Felt Pillow Plush Craft Kit My First Sewing Kit Learn to Sew,611.32,197.78,197.78,0.00,34,11,11,0,0,0.00,-114.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,-121.50,0.00,0.00,0.00,0.00,-189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384.05,-135.00,0.00,0.00,0.00,0.00,0.00,252.05,252.05,31.15,14.16,448,10.27,-114.55,100.00,186.70,FBA,0.00
05/02/2026,Amazon.com,B08DDJCQKF,FH-FMO5-Y9LJ,Cross Stitch Kits For Beginners. 5 Stamped Cross Stitch Kits for Kids.Needlepoint Kits For Beginners. Embroidery Kit For Kids. Crossstitch Kit For Beginners. Girls cross stitch kit Backpack Charms,360.84,338.46,338.46,0.00,18,17,17,0,1,0.00,-95.59,-0.22,0.00,-2.36,0.00,0.00,0.00,0.00,3.00,-19.98,0.00,-0.60,0.00,4.00,0.00,-105.00,0.00,0.00,0.00,0.00,-147.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.76,0.00,337.31,-140.00,0.00,0.00,-4.00,0.00,0.00,197.31,197.31,28.22,14.04,214,17.29,-98.17,100.00,137.02,FBA,0.00
05/02/2026,Amazon.com,B09THLVFZK,RV-FA22-4WFQ,"24,000 Mini Fuse Beads Kit for Adults - 48 Colors Tiny 2.6mm Beads, 5 Pegboards, 2 Tweezers - Compatible with Hama, Melty, Iron Craft - Bulk Storage",171.40,356.08,356.08,0.00,5,11,11,0,1,0.00,-101.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.95,-32.98,0.00,-0.99,0.00,24.90,0.00,-79.16,0.00,0.00,0.00,0.00,-94.72,0.00,0.00,0.00,0.00,0.00,0.00,18.71,0.00,0.00,0.00,241.86,-132.80,0.00,0.00,0.00,0.00,0.00,133.96,133.96,25.40,19.23,210,8.10,-101.43,42.86,100.87,FBA,0.00
05/02/2026,Amazon.com,B09X55KL2C,8P-17QD-1L6J,10 Pre-Stamped Embroidery Patterns for Beginners Embroidery Kit for Kids Girls Needlepoint Kits for Beginners Cross Stitch Craft Sewing Perfect for Ages 7-13,296.78,107.92,107.92,0.00,11,4,4,0,0,0.00,-39.93,0.00,0.00,-10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.30,0.00,-60.75,-13.01,0.00,0.00,0.00,-75.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205.41,-94.50,0.00,0.00,6.30,0.00,0.00,123.51,123.51,30.52,12.34,111,13.51,-49.93,50.00,140.03,FBA,0.00
05/02/2026,Amazon.com,B0F8R652FX,QU-SQUC-HFLJ,"CRAFTILOO Latch Hook Kit for Kids Rug DIY Pillow Craft with Hook, Precut Yarn, Easy to Follow Pattern Cute Designs with Rainbow Heart Ages 6+",74.94,249.80,249.80,0.00,3,10,10,0,2,0.00,-54.02,0.00,0.00,-5.35,0.00,0.00,0.00,0.00,8.70,-57.96,0.00,-1.74,0.00,11.38,0.00,-48.75,0.00,0.00,0.00,0.00,-72.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.21,-73.97,0.00,0.00,0.00,0.00,0.00,30.62,30.62,9.43,18.28,99,13.13,-59.37,100.00,41.40,FBA,0.00
05/02/2026,Amazon.com,B08L8BHD4Z,U9-D41T-LM8J,5 Stamped Superhero Cross Stitch Beginner Projects for Kids Needlepoint Starter kit Sewing Set for Backpack Charms…,197.82,21.98,21.98,0.00,9,1,1,0,0,0.00,-6.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-33.00,0.00,0.00,0.00,0.00,-42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.89,-40.00,0.00,0.00,0.00,0.00,0.00,97.89,97.89,44.54,3.14,55,18.18,-6.91,0.00,244.73,FBA,0.00
05/02/2026,Amazon.com,B0F8DG32H5,7P-PGQW-ADJU,"CRAFTILOO Knitting Kit for Kids – Beginner Knitting Kit to Make a Hat & Cat – Quick Knit Loom Kit with Yarn, Tools & Instructions",107.92,134.90,134.90,0.00,4,5,5,0,0,0.00,-56.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.45,0.00,0.00,0.00,0.00,-63.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.62,-47.70,0.00,0.00,0.00,0.00,0.00,38.92,38.92,16.03,23.19,99,9.09,-56.30,0.00,81.59,FBA,0.00
05/02/2026,Amazon.com,B08FYH13CL,M8-07DZ-ZEYX,CRAFTILOO DIY 2 Rug Pencil Cases Latch Hook Kits for Kids Sewing Set for Girls Beginners Latchkits Ages 8-12,159.84,19.98,19.98,0.00,8,1,1,0,1,0.00,-17.25,0.00,0.00,-3.75,0.00,0.00,0.00,0.00,3.00,-19.98,0.00,-0.60,0.00,0.00,0.00,-27.00,0.00,0.00,0.00,0.00,-37.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.44,-40.50,0.00,0.00,0.00,0.00,0.00,35.94,35.94,19.99,11.68,51,17.65,-21.00,0.00,88.74,FBA,0.00
05/02/2026,Amazon.com,B0BP8GCK1G,KS-48AQ-488J,"Fairy Elves Sewing Kit for Kids, Fun and Educational Fairytale Craft Set for Boys and Girls Age 7-12, Sew Your Own Felt Fairy Craft Kit for Beginners (Garden Rainbow Fairies Kit)",144.76,20.68,20.68,0.00,7,1,1,0,0,0.00,-2.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.80,0.00,0.00,0.00,0.00,-36.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.08,-25.60,0.00,0.00,0.00,0.00,0.00,75.48,75.48,45.62,1.67,87,9.20,-2.76,0.00,294.84,FBA,0.00
05/02/2026,Amazon.com,B0DC69M3YD,7B-EONH-U3A3,"CRAFTILOO Embroidery Kit for Beginners Adults — 4 Floral Stamped Patterns, Learn 17 Stitches | Complete Needlepoint Kit with Hoop, Needles, Thread & Video Tutorial | Embroidery Kits for Adults Women",124.90,49.96,49.96,0.00,5,2,2,0,1,0.00,-44.17,0.00,0.00,-7.18,0.00,0.00,0.00,0.00,2.55,-16.98,0.00,-0.51,0.00,6.30,0.00,-26.25,0.00,0.00,0.00,0.00,-28.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.41,-44.10,0.00,0.00,0.00,0.00,0.00,15.61,15.61,8.93,29.37,112,6.25,-51.35,100.00,35.40,FBA,0.00
