State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,4 flowers - SPM MK broad ultra targeted,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/11/26,,4 Flowers embroidery,12.00,<5%,CPC,16426,146,0.0089,84.41,0.58,0,7,164.87,0.512,1.9532,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,4 flowers - SPM SK embroidery for beginners TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - up and down,1/19/26,,4 Flowers embroidery,11.00,42.17877094972067%,CPC,4722,54,0.0114,54.51,1.01,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,4 flowers - SPM SK beginners embroidery kit for adults TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/11/26,,4 Flowers embroidery,20.00,8.621593291404613%,CPC,5803,86,0.0148,51.11,0.59,0,7,177.86,0.2874,3.4799,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,4 flowers - SD video TOS push,OUT_OF_BUDGET,SB2,Amazon,MANUAL,,11/5/25,,4 Flowers embroidery,7.00,<5%,CPC,4885,52,0.0106,49.72,0.96,97,1,16.98,2.9282,0.3415,1,1,16.98,1,903,55.06,0,0,0,0,0,0,0,0.00
ENABLED,4 flowers- shield brand self target,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,5/30/25,,4 Flowers embroidery,10.00,10.926694329183956%,CPC,3731,62,0.0166,48.22,0.78,0,1,24.98,1.9303,0.518,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,SO | Embroidery Kit | B0DC69M3YD | SPM | PT | 4 flowers,OUT_OF_BUDGET,SP,Amazon,MANUAL,ruleBased,4/10/25,,4 Flowers embroidery,5.00,24.76501838986514%,CPC,2371,32,0.0135,33.33,1.04,0,1,24.98,1.3343,0.7495,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,4 flowers - SPM SK easy embroidery kits for beginners TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - up and down,1/11/26,,4 Flowers embroidery,15.00,34.38395415472779%,CPC,3419,36,0.0105,26.81,0.74,0,4,96.92,0.2766,3.6151,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,4 flowers - SPM SK beginner needlepoint kits for adults TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/7/26,,4 Flowers embroidery,15.00,35.03649635036496%,CPC,925,21,0.0227,22.79,1.09,0,1,24.98,0.9123,1.0961,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,4 flowers - shield brand asins,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,7/29/25,,4 Flowers embroidery,7.00,<5%,CPC,1083,24,0.0222,18.84,0.79,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,4 flowers - SPM SK embroidery starter kit beginner TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/13/25,,4 Flowers embroidery,17.00,30.268199233716476%,CPC,315,11,0.0349,13.62,1.24,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
