State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,biggie beads - SPM MK broad TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/16/25,,biggie beads,35.00,<5%,CPC,8769,87,0.0099,111.30,1.28,0,20,549.56,0.2025,4.9376,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,biggie auto,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,12/17/24,,biggie beads,10.00,<5%,CPC,2555,53,0.0207,42.27,0.80,0,6,149.88,0.282,3.5458,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,biggie beads - SPM SK 10mm fuse beads TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/16/25,,biggie beads,11.00,19.642857142857142%,CPC,204,2,0.0098,2.10,1.05,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,biggie beads - SPM MK all root TOS,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,8/15/18,,biggie beads,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,biggie beads auto,CAMPAIGN_ARCHIVED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,8/15/18,,biggie beads,10.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,10mm beads - focused,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,8/27/18,,biggie beads,5.02,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,10mm beads focused perler beads,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,9/23/18,,biggie beads,4.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,Biggie beads 05.03.19,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Fixed bids,3/5/19,,biggie beads,2.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,biggie perler brand 050319,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Fixed bids,3/5/19,,biggie beads,10.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,biggie beads - SPM MK biggie root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/17/24,,biggie beads,20.00,<5%,CPC,31,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,biggie beads - SPM SK biggie beads TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/16/25,,biggie beads,8.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,biggie beads - SD UGC video,CAMPAIGN_PAUSED,SD,Amazon,MANUAL,,5/1/25,,biggie beads,15.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
