State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,B08DDJCQKF Cross stitch girl broad 2,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,7/26/23,,Cross stitch backpack charms,35.00,<5%,CPC,8029,216,0.0269,245.14,1.13,0,26,571.84,0.4287,2.3327,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B08DDJCQKF Cross girl - auto,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,9/9/23,,Cross stitch backpack charms,12.00,<5%,CPC,1586,82,0.0517,87.47,1.07,0,15,333.68,0.2621,3.8148,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/15/23,,Cross stitch backpack charms,10.00,<5%,CPC,9553,66,0.0069,42.67,0.65,0,5,129.90,0.3285,3.0443,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B08DDJCQKF Cross stitch girl broad,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,7/26/23,,Cross stitch backpack charms,6.00,<5%,CPC,2897,37,0.0128,41.90,1.13,0,8,159.84,0.2621,3.8148,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cross girl - SPM SK cross stitch kits for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/2/25,,Cross stitch backpack charms,25.00,21.428571428571427%,CPC,2020,36,0.0178,41.52,1.15,0,3,59.94,0.6927,1.4436,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cross girl video ad,CAMPAIGN_STATUS_ENABLED,SB2,Amazon,MANUAL,,5/20/24,,Cross stitch backpack charms,15.00,13.4017783481529%,CPC,8688,64,0.0074,34.40,0.54,128,10,213.80,0.1609,6.2151,10,1,213.80,1,1638,21.00,0,0,0,0,0,0,0,0.00
ENABLED,cross girl - SPM MK more general adult root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/24/25,,Cross stitch backpack charms,23.00,7.811996995385771%,CPC,905,29,0.032,27.89,0.96,0,5,121.88,0.2288,4.37,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cross girl - SD UGC video,CAMPAIGN_STATUS_ENABLED,SD,Amazon,MANUAL,,5/1/25,,Cross stitch backpack charms,3.00,,CPC,3962,7,0.0018,6.55,0.94,26,0,0.00,0,0,0,0,0.00,0,397,16.50,587,427,275,225,8,0.1002,0.0176,0.00
ENABLED,cross girl - SPM brand shield,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,6/11/25,,Cross stitch backpack charms,35.00,<5%,CPC,151,2,0.0132,0.84,0.42,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B0B18ZRRCQ - Cats Cross Stitch Kits - CG PAT Vol2 - Incr - SP - Default Pat - um5gbcjh,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,4/20/23,,Cross stitch backpack charms,20.00,<5%,CPC,51,2,0.0392,0.75,0.38,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cross girl - manual TOS beginner cross stitch kits PUSH,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,5/1/25,,Cross stitch backpack charms,10.00,<5%,CPC,104,1,0.0096,0.35,0.35,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,SC INCR Cross Stitch girls B08DDJCQKF,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,9/26/20,,Cross stitch backpack charms,47.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,SC INCR Cross stitch auto B08DDJCQKF,CAMPAIGN_PAUSED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,10/2/20,,Cross stitch backpack charms,10.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,Cross girl focused - cross stitch kits,CAMPAIGN_ARCHIVED,SP,Amazon,AUTOMATIC,Dynamic bids - up and down,10/20/20,,Cross stitch backpack charms,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
