State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,cat knitting - SPM broad,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Cat And Hat Knitting,15.00,<5%,CPC,3172,82,0.0259,87.75,1.07,0,6,155.88,0.5629,1.7764,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cat knitting - SPM product targeting,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,10/15/25,,Cat And Hat Knitting,14.00,8.212560386473431%,CPC,3752,64,0.0171,51.20,0.80,0,5,134.90,0.3795,2.6348,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cat knitting - SPM SK loom knitting kit TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - up and down,1/7/26,,Cat And Hat Knitting,16.00,6.612529002320186%,CPC,6477,55,0.0085,49.82,0.91,0,1,26.98,1.8466,0.5415,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cat knitting - SPA auto,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,8/11/25,,Cat And Hat Knitting,6.00,<5%,CPC,10791,77,0.0071,31.61,0.41,0,12,454.64,0.0695,14.3828,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cat knitting - SPM knitting kit for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Cat And Hat Knitting,20.00,29.457364341085274%,CPC,1885,12,0.0064,11.61,0.97,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cat knitting - SPM SK knitting beginner kit TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/7/26,,Cat And Hat Knitting,15.00,<5%,CPC,663,11,0.0166,5.83,0.53,0,1,26.98,0.2161,4.6278,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cat knitting - SPM SK loom kit for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - up and down,11/20/25,,Cat And Hat Knitting,8.50,<5%,CPC,193,4,0.0207,3.36,0.84,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cat knitting - SPM other root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Cat And Hat Knitting,20.00,<5%,CPC,479,7,0.0146,2.91,0.42,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cat knitting - SPM SK loom animals kit for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/20/25,,Cat And Hat Knitting,14.00,35.294117647058826%,CPC,44,3,0.0682,2.83,0.94,0,1,22.98,0.1232,8.1201,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cat knitting - SPM knitting kit for beginners TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Cat And Hat Knitting,15.00,<5%,CPC,115,1,0.0087,0.35,0.35,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cat knitting - SPM knitting kit root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Cat And Hat Knitting,7.00,<5%,CPC,18,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cat knitting - SPM knitting kit for kids ages 8-12 TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Cat And Hat Knitting,11.00,<5%,CPC,4,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,cat knitting - SPM SK beginner knitting kit TOS,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,12/25/25,,Cat And Hat Knitting,10.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
