State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,cross embroidery - small kit SPM broad and phrase,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/12/25,,Cross And Embroidery Kits,14.00,19.207218820496294%,CPC,1378,102,0.074,74.20,0.73,0,7,139.86,0.5305,1.8849,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cross embroidery - small kit SPA auto,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,8/12/25,,Cross And Embroidery Kits,15.00,<5%,CPC,1561,68,0.0436,34.90,0.51,0,6,119.88,0.2911,3.435,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cross embroidery -  small kit SPM SK cross stitch kits for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/12/25,,Cross And Embroidery Kits,24.00,<5%,CPC,1655,26,0.0157,22.69,0.87,0,6,121.88,0.1862,5.3715,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cross embroidery - small kit SPM SK beginner cross stitch kits for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/7/26,,Cross And Embroidery Kits,20.00,38.93129770992366%,CPC,2589,27,0.0104,18.54,0.69,0,1,19.98,0.9279,1.0777,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cross embroidery - small kit SPM MK cross stitch root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/12/25,,Cross And Embroidery Kits,25.00,35.8974358974359%,CPC,271,14,0.0517,10.72,0.77,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cross embroidery -  small kit SPM SK embroidery kit for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/12/25,,Cross And Embroidery Kits,15.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,cross embroidery - small kit SPM MK embroidery root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/12/25,,Cross And Embroidery Kits,15.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,cross embroidery - large kit SPM SK embroidery kit for kids TOS,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,10/15/25,,Cross And Embroidery Kits,9.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,cross embroidery - large kit SPM MK cross stitch root TOS,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,10/15/25,,Cross And Embroidery Kits,15.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,cross embroidery - large kit SP auto,CAMPAIGN_PAUSED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,10/15/25,,Cross And Embroidery Kits,8.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,cross embroidery - large kit SPM MK embroidery root TOS,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,10/15/25,,Cross And Embroidery Kits,15.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,cross embroidery - large kit SPM SK cross stitch kits for kids TOS,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,10/15/25,,Cross And Embroidery Kits,8.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,cross embroidery - large kit SPM broad and phrase,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,10/15/25,,Cross And Embroidery Kits,60.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,cross embroidery -  both SPM product targeting,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,10/15/25,,Cross And Embroidery Kits,7.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
