State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,embroidery beginner - SPM MK broad TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/7/25,,Embroidery for kids,20.00,<5%,CPC,8505,144,0.0169,140.99,0.98,0,14,363.72,0.3876,2.5798,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,embroidery beginners - SPM SK embroidery kit for beginners TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,10/27/25,,Embroidery for kids,35.00,<5%,CPC,1437,63,0.0438,64.65,1.03,0,7,174.86,0.3697,2.7047,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,embroidery beginner exact video,CAMPAIGN_STATUS_ENABLED,SB2,Amazon,MANUAL,,5/22/24,,Embroidery for kids,10.00,7.049917198959073%,CPC,11029,83,0.0075,62.06,0.75,178,7,181.86,0.3413,2.9304,7,1,181.86,1,1946,31.89,0,0,0,0,0,0,0,0.00
ENABLED,embroidery beginner - manual - product targeting,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,4/10/25,,Embroidery for kids,7.00,<5%,CPC,1561,58,0.0372,48.30,0.83,0,5,127.90,0.3776,2.648,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B09X55KL2C 10 Embroidery kit - SP - EXACT,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/1/23,,Embroidery for kids,4.00,<5%,CPC,1655,31,0.0187,30.24,0.98,0,2,53.96,0.5604,1.7844,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,embroidery beginner - SPM MK needlepoint root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/19/25,,Embroidery for kids,8.00,10.265039966344132%,CPC,2198,31,0.0141,20.88,0.67,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,embroidery beginner - SPM SK easy embroidery kit beginner TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/7/25,,Embroidery for kids,20.00,14.899713467048711%,CPC,104,1,0.0096,1.27,1.27,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B09X55KL2C 10 embroidery LOW BID AUTO TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,3/30/24,,Embroidery for kids,10.00,<5%,CPC,14,1,0.0714,0.30,0.30,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B09X55KL2C 10 embroidery LOW BID AUTO low bid,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,3/30/24,,Embroidery for kids,10.00,<5%,CPC,465,3,0.0065,0.25,0.08,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B09X55KL2C 10 embroidery LOW BID Manual Research,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,3/30/24,,Embroidery for kids,10.00,<5%,CPC,249,1,0.004,0.08,0.08,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
