State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,fairy sewing - SPM MK broad,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/14/25,,fairy family,35.00,<5%,CPC,24808,241,0.0097,245.91,1.02,0,22,519.78,0.4731,2.1137,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,fairy sewing - SPM SK kids sewing kits age 5-8 TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/18/26,,fairy family,14.00,20.584652862362972%,CPC,10771,106,0.0098,98.73,0.93,0,11,288.74,0.3419,2.9245,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,fairy sewing - SPM SK sewing kit for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/18/24,,fairy family,15.00,12.40124491261671%,CPC,1518,52,0.0343,52.83,1.02,0,7,163.86,0.3224,3.1016,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,fairy sewing - auto,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,11/10/22,,fairy family,18.00,<5%,CPC,1782,54,0.0303,40.37,0.75,0,10,219.80,0.1837,5.4446,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,fairy sewing - SPM MK kids sewing kit root,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,2/19/25,,fairy family,8.00,8.488888888888889%,CPC,2620,46,0.0176,40.11,0.87,0,5,109.90,0.365,2.74,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,fairy sewing - manual - product targeting,OUT_OF_BUDGET,SP,Amazon,MANUAL,Dynamic bids - down only,4/10/25,,fairy family,4.00,20.507614213197968%,CPC,985,19,0.0193,28.71,1.51,0,3,65.94,0.4354,2.2968,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,fairy sewing - SPM SK sewing for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/19/25,,fairy family,15.00,30.48780487804878%,CPC,1783,24,0.0135,23.41,0.98,0,1,26.98,0.8677,1.1525,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,fairy sewing - SPM MK sewing kit kids root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,6/27/24,,fairy family,14.00,<5%,CPC,1967,32,0.0163,20.73,0.65,0,3,65.94,0.3144,3.1809,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,ballerina sewing - manual TOS crafts for kids PUSH,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,4/26/25,,fairy family,26.00,<5%,CPC,882,17,0.0193,12.48,0.73,0,2,48.96,0.2549,3.9231,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,fairy sewing - SPM MK sewing kit root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,2/13/25,,fairy family,15.00,8.249496981891348%,CPC,616,12,0.0195,10.09,0.84,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,fairy sewing - SPM SK doll making kit TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/19/26,,fairy family,11.00,17.983651226158038%,CPC,315,4,0.0127,4.70,1.18,0,1,21.98,0.2138,4.6766,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,fairy sewing - SPM fairy sewing kit for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/10/25,,fairy family,20.00,50.0%,CPC,11,5,0.4545,4.53,0.91,0,1,21.98,0.2061,4.8521,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,fairy sewing - SPM SK sewing kit for kids ages 8-12  TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/14/25,,fairy family,30.00,<5%,CPC,441,5,0.0113,1.92,0.38,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B0BNDVTTSH Ballerina LOW BID MANUAL TARGETING,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,3/30/24,,fairy family,10.00,<5%,CPC,188,1,0.0053,0.12,0.12,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B09WQSBZY7 Fairy LOW BID MANUAL TARGETING,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,3/30/24,,fairy family,10.00,<5%,CPC,480,1,0.0021,0.11,0.11,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,DH-0K32-KCGU SP Phra 220709 Fairysew 24,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,7/9/22,,fairy family,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,DH-0K32-KCGU SP Exac 220709 Fairysew 65,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,7/9/22,,fairy family,3.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,DH-0K32-KCGU SP Exac 220709 Fairysew 29,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,7/9/22,,fairy family,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,DH-0K32-KCGU SP Broa 220709 Fairysew 15,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,7/9/22,,fairy family,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,DH-0K32-KCGU SP Exac 220709 Fairysew 66,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,7/9/22,,fairy family,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,DH-0K32-KCGU SP Exac 220709 Fairysew 30,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,7/9/22,,fairy family,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,DH-0K32-KCGU SP Exac 220709 Fairysew 67,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,7/9/22,,fairy family,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
