State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,mini fuse beads TOS push - mini root,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/29/25,,fuse beads,30.00,45.02793296089386%,CPC,20934,182,0.0087,179.85,0.99,0,14,467.70,0.3845,2.6005,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,mini fuse beads - SPM MK broad mini root,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/8/25,,fuse beads,25.00,10.076721075124864%,CPC,13660,150,0.011,174.78,1.17,0,14,463.00,0.3775,2.649,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,48 Minibeads - broad auto,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,7/26/23,,fuse beads,16.00,5.617905264173393%,CPC,24273,164,0.0068,107.35,0.65,0,9,292.20,0.3674,2.7219,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,mini fuse beads - SPM SK fuse bead kit TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/19/25,,fuse beads,15.00,23.46805736636245%,CPC,12463,92,0.0074,104.20,1.13,0,6,201.86,0.5162,1.9372,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,mini fuse beads-  SPM MK multi root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/29/25,,fuse beads,14.00,13.405633378520863%,CPC,1262,92,0.0729,98.02,1.07,0,11,358.18,0.2737,3.6542,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,48 mini perler beads tos push,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/8/24,,fuse beads,7.00,<5%,CPC,1610,67,0.0416,49.64,0.74,0,9,300.78,0.165,6.0592,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,mini fuse beads - SPM MP product targeting,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,4/10/25,,fuse beads,7.00,53.613053613053616%,CPC,697,37,0.0531,49.19,1.33,0,5,166.90,0.2947,3.393,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B07PXN4K8N 22000 beads LOW BID AUTO TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,3/31/24,,fuse beads,35.00,<5%,CPC,936,55,0.0588,30.82,0.56,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,mini fuse beads - SPM MK BROAD shinshin creation root,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/8/25,,fuse beads,20.00,<5%,CPC,1465,5,0.0034,3.53,0.71,0,2,67.96,0.0519,19.2521,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,mini fuse beads TOS push - mini root other,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,5/27/25,,fuse beads,15.00,<5%,CPC,334,5,0.015,2.74,0.55,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,48 mini beads - SP  mini perler TOS push,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,5/19/25,,fuse beads,15.00,57.49999999999999%,CPC,25,1,0.04,0.72,0.72,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B07PXN4K8N 22000 beads LOW BID Product Targeting,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,3/31/24,,fuse beads,10.00,<5%,CPC,22,1,0.0455,0.05,0.05,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,48minibeads-Launch,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,6/17/22,,fuse beads,5.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,RV-FA22-4WFQ SP AuCl 220616 Minibeads48 1,CAMPAIGN_ARCHIVED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,6/16/22,,fuse beads,3.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,RV-FA22-4WFQ SP Exac 220616 Minibeads48 1,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,6/16/22,,fuse beads,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,RV-FA22-4WFQ SP AuLo 220616 Minibeads48 1,CAMPAIGN_ARCHIVED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,6/16/22,,fuse beads,3.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,RV-FA22-4WFQ SP AuCo 220616 Minibeads48 1,CAMPAIGN_ARCHIVED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,6/16/22,,fuse beads,3.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
