State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,latch hook - SPM for kids root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,7/20/25,,Latch hook kits,21.00,27.598926894701542%,CPC,3586,53,0.0148,56.70,1.07,0,9,229.78,0.2468,4.0526,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook - manual - product targeting,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,4/10/25,,Latch hook kits,5.00,<5%,CPC,2060,25,0.0121,25.24,1.01,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,B08FYH13CL latch video manual,CAMPAIGN_STATUS_ENABLED,SB2,Amazon,MANUAL,,5/5/24,,Latch hook kits,10.00,25.465196416264646%,CPC,3206,36,0.0112,24.09,0.67,91,3,59.94,0.4019,2.4882,3,1,59.94,1,690,34.91,0,0,0,0,0,0,0,0.00
ENABLED,Latch Hook kits - SP - Auto,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,11/16/23,,Latch hook kits,6.00,<5%,CPC,2421,25,0.0103,14.02,0.56,0,5,101.90,0.1376,7.2682,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook - SPM SK hook rug kits for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/7/25,,Latch hook kits,15.00,28.458498023715418%,CPC,168,5,0.0298,5.22,1.04,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook kits - manual TOS competitor keyword push,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,2/5/25,,Latch hook kits,15.00,16.331360946745562%,CPC,352,5,0.0142,4.52,0.90,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook kits exact TOS push,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,7/3/24,,Latch hook kits,55.00,<5%,CPC,325,3,0.0092,2.04,0.68,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Latch Hook kits - SP - Product Target,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/16/23,,Latch hook kits,25.00,<5%,CPC,205,4,0.0195,1.33,0.33,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook - SPM MK latch hook kit root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/10/25,,Latch hook kits,15.00,7.861060329067642%,CPC,82,1,0.0122,1.14,1.14,0,1,19.98,0.0571,17.5263,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Latch Hook kits - SP - Exact,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/16/23,,Latch hook kits,15.00,<5%,CPC,204,1,0.0049,0.64,0.64,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,Latch Hook kits - SP - Broad,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,11/16/23,,Latch hook kits,16.75,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,latch hook - SPM latch hook root TOS,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,8/19/25,,Latch hook kits,25.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook - SPM SK latch hook kits for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/10/25,,Latch hook kits,15.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook - SPM SK beginner latch hook kits for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/10/25,,Latch hook kits,15.00,28.125%,CPC,21,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook - SPM SK latch hook kits for beginners TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/7/25,,Latch hook kits,15.00,<5%,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
