State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,latch hook pillow - SPM product targeting,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,10/15/25,,Latch Hook Pillow,18.00,18.11633968994375%,CPC,8312,121,0.0146,115.27,0.95,0,7,174.86,0.6592,1.517,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook pillow - SPM broad,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Latch Hook Pillow,20.00,5.9628823462023135%,CPC,18588,103,0.0055,83.67,0.81,0,13,324.74,0.2577,3.8812,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook pillow - SPM latch hook kit for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Latch Hook Pillow,10.00,30.125523012552303%,CPC,875,47,0.0537,60.66,1.29,0,10,239.80,0.253,3.9532,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook pillow - SB ai video,CAMPAIGN_STATUS_ENABLED,SB2,Amazon,MANUAL,,11/6/25,,Latch Hook Pillow,7.00,24.83734087694484%,CPC,3098,51,0.0165,49.58,0.97,134,6,174.86,0.2835,3.5268,6,1,174.86,1,871,56.92,0,0,0,0,0,0,0,0.00
ENABLED,latch hook pillow - SPA auto,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,8/11/25,,Latch Hook Pillow,3.00,<5%,CPC,502,25,0.0498,15.53,0.62,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook pillow - SPM SK latch hook kits for beginners TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/21/26,,Latch Hook Pillow,13.00,31.11111111111111%,CPC,119,4,0.0336,4.86,1.21,0,1,24.98,0.1946,5.1399,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook pillow - SPM other root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Latch Hook Pillow,2.00,<5%,CPC,797,8,0.01,4.19,0.52,0,2,49.96,0.0839,11.9236,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook pillow - SPM latch hook kit root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Latch Hook Pillow,4.00,<5%,CPC,525,3,0.0057,2.18,0.73,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook pillow - SPM hook rug kits for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Latch Hook Pillow,7.00,30.64516129032258%,CPC,121,1,0.0083,1.25,1.25,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch hook pillow - SPM latch hook pillow kit TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - up and down,8/11/25,,Latch Hook Pillow,4.00,6.724683544303797%,CPC,97,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,latch pillow - SPM SK latch hook rug kits for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/11/26,,Latch Hook Pillow,15.00,5.633802816901409%,CPC,5,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,latch hook pillow - SB explanation video,CAMPAIGN_PAUSED,SB2,Amazon,MANUAL,,11/6/25,,Latch Hook Pillow,3.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
