State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,needlepoint - SPM MK broad and phrase TOS,OUT_OF_BUDGET,SP,Amazon,MANUAL,Dynamic bids - up and down,11/16/25,,Needlepoint,10.00,<5%,CPC,5688,99,0.0174,68.78,0.69,0,4,71.92,0.9563,1.0457,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,needlepoint - SPA auto TOS,OUT_OF_BUDGET,SP,Amazon,AUTOMATIC,Dynamic bids - down only,11/16/25,,Needlepoint,5.00,<5%,CPC,5774,75,0.013,34.77,0.46,0,3,52.86,0.6578,1.5203,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,needlepoint - SPM SK needlepoint kits for beginners TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/16/25,,Needlepoint,15.00,5.766458433445458%,CPC,2137,32,0.015,13.82,0.43,0,2,35.96,0.3843,2.602,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,needlepoint - SPM SK kids needlepoint kit TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/16/25,,Needlepoint,8.00,24.7557003257329%,CPC,491,12,0.0244,9.61,0.80,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,needlepoint - SPM SK needlepoint kit for kids TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,11/16/25,,Needlepoint,8.00,24.203821656050955%,CPC,391,7,0.0179,3.63,0.52,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,N7-TUSA-2329 SP Exac 220916 needle2 1,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,9/16/22,,Needlepoint,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,N7-TUSA-2329 SP Exac 220916 needle2 2,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,9/16/22,,Needlepoint,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,N7-TUSA-2329 SP Exac 220916 needle2 3,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,9/16/22,,Needlepoint,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,N7-TUSA-2329 SP Exac 220916 needle2 4,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,9/16/22,,Needlepoint,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ARCHIVED,N7-TUSA-2329 SP Exac 220916 needle2 5,CAMPAIGN_ARCHIVED,SP,Amazon,MANUAL,Dynamic bids - down only,9/16/22,,Needlepoint,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
