State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,princess lacing - SPM MK broad TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/4/25,,princess lacing cards,20.00,21.39242715058454%,CPC,1752,103,0.0588,185.16,1.80,0,15,299.70,0.6178,1.6186,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,princess lacing - SPM MP product targeting,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,2/1/26,,princess lacing cards,8.00,34.40207972270364%,CPC,1498,72,0.0481,103.33,1.44,0,8,159.84,0.6465,1.5469,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,princess lacing - SPA auto,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,12/3/25,,princess lacing cards,8.00,<5%,CPC,9723,146,0.015,94.23,0.65,0,13,259.74,0.3628,2.7564,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,princess lacing - SPM SK lacing cards for kids ages 3-5 TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/4/25,,princess lacing cards,20.00,15.084525357607282%,CPC,116,8,0.069,12.03,1.50,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,princess lacing - SPM MK lacing root TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,2/1/26,,princess lacing cards,20.00,12.373907195696033%,CPC,197,9,0.0457,11.65,1.29,0,1,19.98,0.5831,1.715,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,princess lacing - SPM SK toddler sewing kit TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,1/21/26,,princess lacing cards,13.00,50.0%,CPC,1,1,1,1.82,1.82,0,1,19.98,0.0911,10.978,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,princess lacing - SPM SK sewing cards for kids ages 4-8 TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/4/25,,princess lacing cards,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,princess lacing - SPM SK sewing cards for kids ages 3-5 TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/4/25,,princess lacing cards,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,princess lacing - SPM SK lacing cards for kids ages 4-8 TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/4/25,,princess lacing cards,30.00,<5%,CPC,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,princess lacing - SPM SK lacing cards TOS,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,12/8/25,,princess lacing cards,8.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,princess lacing - SPM SK gem art sticker lacing cards TOS,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,12/8/25,,princess lacing cards,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,princess lacing - SPM SK lacing toy TOS,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,12/15/25,,princess lacing cards,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,princess lacing - SPM SK lacing cards for toddlers TOS,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,12/15/25,,princess lacing cards,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
