State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,shield product - cross stitch kits,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,4/15/25,,Shield All,8.00,7.5972296217368145%,CPC,6973,111,0.0159,88.94,0.80,0,12,307.72,0.289,3.4599,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,shield product - latch hook kits,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,4/15/25,,Shield All,8.00,19.45903872348706%,CPC,6536,88,0.0135,74.41,0.85,0,12,304.74,0.2442,4.0954,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,shield brand name - manual and broad,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,4/15/25,,Shield All,10.00,>95%,CPC,5100,38,0.0075,31.73,0.84,0,8,192.84,0.1645,6.0775,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,shield product - latch hook pillow,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,8/11/25,,Shield All,10.00,22.079675894665765%,CPC,784,10,0.0128,7.90,0.79,0,1,39.96,0.1977,5.0582,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,shield product - bunny knitting,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,4/15/25,,Shield All,2.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,shield product - embroidery for kids,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,4/15/25,,Shield All,1.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,shield product - dessert sewing,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,4/15/25,,Shield All,10.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,shield product - fairy sewing exact,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,4/14/25,,Shield All,2.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,shield product - mini fuse beads,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,4/14/25,,Shield All,2.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,shield product - cross and embroidery,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,10/9/25,,Shield All,15.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
PAUSED,shield product - cat knitting,CAMPAIGN_PAUSED,SP,Amazon,MANUAL,Dynamic bids - down only,10/9/25,,Shield All,7.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
