Start Date,End Date,Portfolio name,Currency,Campaign Name,Retailer,Country,Bidding strategy,Placement,Impressions,Clicks,Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#)
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - auto,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,301,5,$0.31,$1.55,$21.98,7.0519%,14.18,1,1
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - auto,Amazon,United States,Dynamic bids - down only,Off Amazon,362,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - auto,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,147,1,$0.31,$0.31,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - auto,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,770,42,$0.86,$35.94,$136.88,26.2566%,3.81,6,6
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,24232,201,$0.36,$71.59,$209.84,34.1165%,2.93,8,8
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,Dynamic bids - down only,Off Amazon,25535,95,$0.16,$15.63,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,20953,124,$0.28,$34.73,$205.26,16.9200%,5.91,7,7
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,40,7,$0.25,$1.74,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.49 - Incrementum,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,2986,24,$0.32,$7.62,$61.94,12.3022%,8.13,2,3
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.49 - Incrementum,Amazon,United States,Dynamic bids - down only,Off Amazon,1840,3,$0.16,$0.49,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.49 - Incrementum,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1843,18,$0.33,$5.94,$22.98,25.8486%,3.87,1,1
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.49 - Incrementum,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,91,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,36939,66,$0.27,$17.59,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,Dynamic bids - down only,Off Amazon,18427,65,$0.19,$12.36,$32.98,37.4773%,2.67,1,1
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,57614,614,$0.33,$202.89,$816.89,24.8369%,4.03,36,37
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1749,46,$0.36,$16.61,$122.88,13.5173%,7.40,6,6
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B0B18ZRRCQ - Cats Cross Stitch Kits - CG PAT Vol2 - Incr - SP - Default Pat - um5gbcjh,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B0B18ZRRCQ - Cats Cross Stitch Kits - CG PAT Vol2 - Incr - SP - Default Pat - um5gbcjh,Amazon,United States,Dynamic bids - down only,Off Amazon,38,1,$0.22,$0.22,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B0B18ZRRCQ - Cats Cross Stitch Kits - CG PAT Vol2 - Incr - SP - Default Pat - um5gbcjh,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,15,1,$0.53,$0.53,$0.00,,0.00,0,0
"Feb 15, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,B0B18ZRRCQ - Cats Cross Stitch Kits - CG PAT Vol2 - Incr - SP - Default Pat - um5gbcjh,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Latch Hook Pillow,USD,latch hook pillow - SPM SK latch hook kits for beginners TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,21,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Latch Hook Pillow,USD,latch hook pillow - SPM SK latch hook kits for beginners TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,109,6,$1.22,$7.31,$24.98,29.2634%,3.42,1,1
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM SK doll making kit TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,144,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM SK doll making kit TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,31,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM SK doll making kit TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,67,3,$1.14,$3.43,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,4 flowers - SPM SK embroidery for beginners TOS,Amazon,United States,Dynamic bids - up and down,Product pages on Amazon,2360,12,$0.78,$9.36,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,4 flowers - SPM SK embroidery for beginners TOS,Amazon,United States,Dynamic bids - up and down,Off Amazon,667,8,$0.27,$2.16,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,4 flowers - SPM SK embroidery for beginners TOS,Amazon,United States,Dynamic bids - up and down,Rest of search on Amazon,473,7,$1.00,$6.98,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,4 flowers - SPM SK embroidery for beginners TOS,Amazon,United States,Dynamic bids - up and down,Top of Search on Amazon,307,29,$1.35,$39.09,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM SK kids sewing kits age 5-8 TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,10448,85,$0.78,$66.37,$243.78,27.2254%,3.67,9,11
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM SK kids sewing kits age 5-8 TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,120,1,$0.79,$0.79,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - SPM SK kids sewing kits age 5-8 TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,165,17,$1.81,$30.82,$21.98,140.2184%,0.71,1,1
"Feb 11, 2026","Feb 12, 2026",princess lacing cards,USD,princess lacing - SPM MK lacing root TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 16, 2026",princess lacing cards,USD,princess lacing - SPM MK lacing root TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",princess lacing cards,USD,princess lacing - SPM MK lacing root TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,193,6,$1.37,$8.22,$19.98,41.1411%,2.43,1,1
"Feb 11, 2026","Feb 17, 2026",princess lacing cards,USD,princess lacing - SPM MP product targeting,Amazon,United States,Dynamic bids - down only,Off Amazon,6,0,,$0.00,$0.00,,,0,0
