Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Retailer,Country,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Feb 13, 2026","Feb 13, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,loose-match,-,%girl's stamping set%,1,1,100.0000%,$0.33,$0.33,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,complements,-,0711287074,7,1,14.2857%,$0.37,$0.37,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 13, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,complements,-,0735351872,1,1,100.0000%,$0.39,$0.39,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,10mm fuse beads,1,1,100.0000%,$0.34,$0.34,$24.98,1.3611%,73.47,1,1,100.0000%,0,1,$0.00,$24.98
"Feb 15, 2026","Feb 15, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,11 year old boy weave kit,1,1,100.0000%,$0.37,$0.37,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",Embroidery for kids,USD,embroidery beginner - manual - product targeting,embroidery beginner - manual - product targeting,Amazon,United States,"asin=""B087DYHMZ2""",-,11 year old girl sewing,1,1,100.0000%,$1.00,$1.00,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,loose-match,-,12 x 12 mini size latch hook kits,12,1,8.3333%,$0.33,$0.33,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,1338158805,1,1,100.0000%,$0.34,$0.34,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,1574860968,4,1,25.0000%,$0.34,$0.34,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,1667207490,7,1,14.2857%,$0.34,$0.34,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",fuse beads,USD,48 Minibeads - broad auto,Ad Group BROAD Match,Amazon,United States,perler,BROAD,2.6 board for perler beads,2,1,50.0000%,$0.87,$0.87,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 15, 2026",fuse beads,USD,48 Minibeads - broad auto,Ad Group BROAD Match,Amazon,United States,perler,BROAD,2.6 mm perler beads,39,2,5.1282%,$0.87,$1.74,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,close-match,-,2.6mm fuse beads,14,1,7.1429%,$0.29,$0.29,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 16, 2026",fuse beads,USD,mini fuse beads-  SPM MK multi root TOS,fuse beads TOS push - revive keywords,Amazon,United States,2.6 mm fuse beads,EXACT,2.6mm fuse beads,36,4,11.1111%,$1.10,$4.39,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,close-match,-,2.6mm fuse beads pegboard,1,1,100.0000%,$0.31,$0.31,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 15, 2026",fuse beads,USD,48 Minibeads - broad auto,Ad Group BROAD Match,Amazon,United States,perler,BROAD,2.6mm perler beads,39,3,7.6923%,$0.83,$2.50,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",fuse beads,USD,48 Minibeads - broad auto,Ad Group BROAD Match,Amazon,United States,perler,BROAD,"22,000 count perler beads",2,1,50.0000%,$0.87,$0.87,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 13, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,24 hour crafts 8 pointed star,1,1,100.0000%,$0.44,$0.44,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",fuse beads,USD,B07PXN4K8N 22000 beads LOW BID AUTO TOS,22000 beads LOW BID AUTO TOS,Amazon,United States,loose-match,-,"25,000 pcs fuse bead kit",1,1,100.0000%,$0.40,$0.40,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,close-match,-,3mm beads,5,2,40.0000%,$0.31,$0.62,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",fuse beads,USD,B07PXN4K8N 22000 beads LOW BID AUTO TOS,22000 beads LOW BID AUTO TOS,Amazon,United States,substitutes,-,5mm perler bead kit,1,1,100.0000%,$0.60,$0.60,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,5mm perler beads,6,1,16.6667%,$0.34,$0.34,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,6 year old latchkit craft,1,1,100.0000%,$0.16,$0.16,$24.98,0.6405%,156.13,1,1,100.0000%,1,0,$24.98,$0.00
"Feb 16, 2026","Feb 16, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,7 year old girl,2,1,50.0000%,$0.37,$0.37,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,7 yr old girl birthday gifts,2,1,50.0000%,$0.34,$0.34,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,8 year old girl birthday gift,1,1,100.0000%,$0.37,$0.37,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,close-match,-,8 year old girl crochet kit,2,1,50.0000%,$0.35,$0.35,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 13, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,8-bit mario characters perler beads,3,1,33.3333%,$0.12,$0.12,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",No Portfolio,USD,Biggie Auto,Biggie Auto,Amazon,United States,substitutes,-,8-bit style fire and rocket perler bead patterns,4,1,25.0000%,$0.30,$0.30,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,9 year old girl birthday gifts,8,2,25.0000%,$0.34,$0.68,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,loose-match,-,a beginner crossstitch kit for kids,2,1,50.0000%,$0.33,$0.33,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,a sewing machine for kids,14,1,7.1429%,$0.44,$0.44,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 13, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,close-match,-,activity with the needle and yarn for girls 12 years,3,1,33.3333%,$0.35,$0.35,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0DC69M3YD | SPM | PT | 4 flowers,4 flowers - manual - product targeting,Amazon,United States,"asin=""B0BB9N74SG""",-,adult cross stitch,1,1,100.0000%,$1.20,$1.20,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,close-match,-,adult fuse beads,5,1,20.0000%,$0.31,$0.31,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",fuse beads,USD,48 Minibeads - broad auto,Ad Group BROAD Match,Amazon,United States,perler,BROAD,africa perler beads,1,1,100.0000%,$0.13,$0.13,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,loose-match,-,agujas de bordar,3,1,33.3333%,$0.33,$0.33,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 12, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,close-match,-,aida cloth 14 count kit,1,1,100.0000%,$0.34,$0.34,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 12, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,alex needlepoint for kids,1,1,100.0000%,$0.37,$0.37,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,alex toys my first sewing kit,1,1,100.0000%,$0.62,$0.62,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,loose-match,-,alex yarn simply needlepoint iphone case box make,1,1,100.0000%,$0.32,$0.32,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,loose-match,-,animal sewing kit for kids,1,1,100.0000%,$0.29,$0.29,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,loose-match,-,animal sewing patterns,13,1,7.6923%,$0.06,$0.06,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,animal sewing patterns,9,1,11.1111%,$0.07,$0.07,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,animals stamped cross stitch kits,1,1,100.0000%,$0.62,$0.62,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,anime cross stitch kits,2,1,50.0000%,$0.34,$0.34,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,loose-match,-,anime embroidery kit,4,1,25.0000%,$0.33,$0.33,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",biggie beads,USD,biggie auto,Biggie Auto,Amazon,United States,loose-match,-,aqua beads for kids mega size,1,1,100.0000%,$0.89,$0.89,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,aqua puff,1,1,100.0000%,$0.44,$0.44,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 16, 2026",fuse beads,USD,B07PXN4K8N 22000 beads LOW BID AUTO TOS,22000 beads LOW BID AUTO TOS,Amazon,United States,substitutes,-,aquabeads,9,2,22.2222%,$0.59,$1.17,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 13, 2026",biggie beads,USD,biggie auto,Biggie Auto,Amazon,United States,loose-match,-,aquabeads boy,1,1,100.0000%,$0.89,$0.89,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,art & craft kit happy stitching,1,1,100.0000%,$0.62,$0.62,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,Ad Group BROAD Match,Amazon,United States,kids cross stitch,BROAD,art craft for kids 6 embroidery,1,1,100.0000%,$1.42,$1.42,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,art kits for girls ages 10-12,1,1,100.0000%,$0.37,$0.37,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,loose-match,-,art project & craft kit kids needle work,1,1,100.0000%,$0.37,$0.37,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",fuse beads,USD,48 Minibeads - broad auto,Ad Group BROAD Match,Amazon,United States,perler bead kit,BROAD,arteza perler bead kit,9,1,11.1111%,$0.59,$0.59,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
