Start Date,End Date,Portfolio name,Currency,Campaign Name,Country,Ad Group Name,Retailer,Targeting,Match Type,Impressions,Top-of-search Impression Share,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Sales ,7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,fairy sewing - auto,United States,Fairy auto,Amazon,close-match,-,1615,1.1300%,48,2.9721%,$0.79,$37.80,23.7945%,4.20,$158.86,7,7,14.5833%,6,1,$131.88,$26.98
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,United States,Catch All - Auto - 0.39 - Incrementum,Amazon,close-match,-,7342,0.0100%,77,1.0488%,$0.29,$22.47,37.8538%,2.64,$59.36,2,2,2.5974%,2,0,$59.36,$0.00
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,United States,Catch All - Auto - 0.39 - Incrementum,Amazon,complements,-,42572,0.0000%,246,0.5778%,$0.32,$78.26,44.2497%,2.26,$176.86,7,7,2.8455%,5,2,$128.90,$47.96
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,United States,Catch All - Auto - 0.39 - Incrementum,Amazon,substitutes,-,23470,0.0000%,104,0.4431%,$0.22,$22.96,12.8354%,7.79,$178.88,6,6,5.7692%,5,1,$158.90,$19.98
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.49 - Incrementum,United States,Catch All - Auto - 0.49 - Incrementum,Amazon,close-match,-,6967,0.0300%,45,0.6459%,$0.31,$14.05,16.5450%,6.04,$84.92,3,4,6.6667%,1,3,$21.98,$62.94
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,United States,Catch All - Auto - 0.29 - Incrementum,Amazon,close-match,-,1477,0.0300%,11,0.7448%,$0.27,$2.94,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,United States,Catch All - Auto - 0.29 - Incrementum,Amazon,loose-match,-,28602,0.1100%,290,1.0139%,$0.32,$93.20,22.4779%,4.45,$414.63,19,19,6.5517%,9,10,$201.82,$212.81
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,United States,Catch All - Auto - 0.29 - Incrementum,Amazon,complements,-,126,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,United States,Catch All - Auto - 0.29 - Incrementum,Amazon,substitutes,-,87764,0.2200%,490,0.5583%,$0.31,$153.31,27.4690%,3.64,$558.12,24,25,4.8980%,18,7,$393.64,$164.48
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B0B18ZRRCQ - Cats Cross Stitch Kits - CG PAT Vol2 - Incr - SP - Default Pat - um5gbcjh,United States,Ad Group 1,Amazon,"asin=""B01MY92JKD""",-,3,12.5000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B0B18ZRRCQ - Cats Cross Stitch Kits - CG PAT Vol2 - Incr - SP - Default Pat - um5gbcjh,United States,Ad Group 1,Amazon,"asin=""B011CC2XZY""",-,52,0.0000%,2,3.8462%,$0.38,$0.75,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B0B18ZRRCQ - Cats Cross Stitch Kits - CG PAT Vol2 - Incr - SP - Default Pat - um5gbcjh,United States,Ad Group 1,Amazon,"asin=""B01KFFRYEO""",-,0,,0,,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,48 Minibeads - broad auto,United States,Ad Group BROAD Match,Amazon,perler,BROAD,19673,5.9800%,116,0.5896%,$0.64,$74.06,112.2802%,0.89,$65.96,2,2,1.7241%,2,0,$65.96,$0.00
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,48 Minibeads - broad auto,United States,Ad Group BROAD Match,Amazon,perler bead kit,BROAD,5577,7.9400%,50,0.8965%,$0.68,$33.97,33.6537%,2.97,$100.94,3,3,6.0000%,2,1,$65.96,$34.98
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,United States,Ad Group BROAD Match,Amazon,kids cross stitch,BROAD,2156,4.3100%,105,4.8701%,$1.28,$134.01,47.5685%,2.10,$281.72,11,14,10.4762%,12,2,$239.76,$41.96
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,United States,Ad Group BROAD Match,Amazon,kids embroidery kit,BROAD,381,24.8800%,30,7.8740%,$1.12,$33.50,167.6677%,0.60,$19.98,1,1,3.3333%,1,0,$19.98,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,United States,Ad Group BROAD Match,Amazon,cross stitch for kids,BROAD,128,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,United States,Ad Group BROAD Match,Amazon,needlepoint kits for kids,BROAD,455,7.1400%,32,7.0330%,$1.11,$35.62,89.1391%,1.12,$39.96,2,2,6.2500%,2,0,$39.96,$0.00
"Feb 12, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,United States,Ad Group BROAD Match,Amazon,cross stitch kits for kids,BROAD,10,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,United States,Ad Group BROAD Match,Amazon,embroidery kit for beginners kids,BROAD,52,36.8800%,5,9.6154%,$0.91,$4.55,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,United States,Ad Group BROAD Match,Amazon,beginner cross stitch kits for kids,BROAD,4138,0.2700%,45,1.0875%,$0.84,$37.81,23.6549%,4.23,$159.84,8,8,17.7778%,7,1,$139.86,$19.98
